shipment_id,order_id,warehouse_id,shipped_date,delivery_date,shipping_cost,tracking_number
1,1,5,2022-05-03,2022-05-10,160.05,TRK1
2,2,16,2022-03-29,2022-04-07,196.23,TRK2
3,3,16,2023-10-03,2023-10-12,362.09,TRK3
4,4,2,2025-02-13,2025-02-20,421.71,TRK4
5,5,5,2025-11-23,2025-11-28,112.49,TRK5
6,6,18,2022-10-17,2022-10-26,114.67,TRK6
7,7,15,2025-10-23,2025-10-31,92.56,TRK7
8,8,7,2025-09-04,2025-09-11,387.27,TRK8
9,9,10,2023-09-21,2023-09-26,252.48,TRK9
10,10,2,2026-04-04,2026-04-08,210.44,TRK10
11,11,18,2025-05-18,2025-05-26,444.26,TRK11
12,12,7,2023-10-03,2023-10-13,115.82,TRK12
13,13,4,2023-06-19,2023-06-28,261.35,TRK13
14,14,19,2023-05-30,2023-06-06,372.82,TRK14
15,15,11,2026-02-12,2026-02-15,420.95,TRK15
16,16,9,2025-06-09,2025-06-11,86.11,TRK16
17,17,10,2024-03-08,2024-03-15,100.28,TRK17
18,18,18,2025-04-27,2025-04-30,150.37,TRK18
19,19,1,2023-12-15,2023-12-24,129.66,TRK19
20,20,8,2023-08-23,2023-08-27,338.73,TRK20
21,21,5,2026-03-02,2026-03-04,360.51,TRK21
22,22,20,2025-04-10,2025-04-19,331.39,TRK22
23,23,16,2024-02-12,2024-02-18,489.71,TRK23
24,24,17,2022-05-08,2022-05-16,233.51,TRK24
25,25,14,2025-04-01,2025-04-09,166.36,TRK25
26,26,4,2022-07-03,2022-07-11,77.38,TRK26
27,27,19,2024-01-25,2024-02-03,106.32,TRK27
28,28,20,2023-04-07,2023-04-16,239.26,TRK28
29,29,2,2023-06-21,2023-06-22,53.66,TRK29
30,30,17,2024-05-15,2024-05-19,240.22,TRK30
31,31,2,2022-08-18,2022-08-24,344.29,TRK31
32,32,9,2025-07-23,2025-07-27,84.66,TRK32
33,33,15,2023-06-06,2023-06-08,394.58,TRK33
34,34,15,2022-03-01,2022-03-09,327.71,TRK34
35,35,10,2023-10-04,2023-10-05,152.14,TRK35
36,36,3,2025-03-30,2025-04-02,351.15,TRK36
37,37,3,2023-12-23,2023-12-29,187.6,TRK37
38,38,16,2026-04-30,2026-05-04,123.79,TRK38
39,39,3,2025-05-28,2025-06-06,485.15,TRK39
40,40,12,2025-03-10,2025-03-15,171.73,TRK40
41,41,11,2022-11-11,2022-11-18,237.11,TRK41
42,42,19,2025-05-16,2025-05-23,204.0,TRK42
43,43,1,2026-04-04,2026-04-14,225.68,TRK43
44,44,1,2024-08-21,2024-08-31,166.24,TRK44
45,45,14,2023-07-29,2023-08-03,287.95,TRK45
46,46,4,2022-02-02,2022-02-12,250.28,TRK46
47,47,13,2022-05-22,2022-05-28,472.61,TRK47
48,48,18,2023-06-10,2023-06-11,266.74,TRK48
49,49,18,2023-05-17,2023-05-22,228.28,TRK49
50,50,18,2024-06-27,2024-06-29,148.5,TRK50
51,51,11,2025-06-12,2025-06-21,183.1,TRK51
52,52,2,2026-01-02,2026-01-08,371.05,TRK52
53,53,3,2025-11-30,2025-12-05,187.84,TRK53
54,54,6,2024-09-16,2024-09-26,161.04,TRK54
55,55,1,2026-04-26,2026-05-01,359.84,TRK55
56,56,13,2025-06-29,2025-07-05,429.59,TRK56
57,57,19,2024-11-28,2024-12-08,271.28,TRK57
58,58,11,2024-12-06,2024-12-09,451.31,TRK58
59,59,4,2024-09-06,2024-09-10,481.57,TRK59
60,60,12,2026-04-09,2026-04-19,384.61,TRK60
61,61,7,2025-04-24,2025-04-26,288.62,TRK61
62,62,7,2026-01-04,2026-01-11,453.4,TRK62
63,63,10,2022-08-31,2022-09-09,74.5,TRK63
64,64,11,2025-09-25,2025-09-29,325.6,TRK64
65,65,7,2023-11-13,2023-11-22,214.96,TRK65
66,66,15,2022-08-24,2022-09-03,245.35,TRK66
67,67,12,2024-12-18,2024-12-25,132.77,TRK67
68,68,17,2025-04-16,2025-04-22,437.12,TRK68
69,69,2,2022-05-03,2022-05-06,229.45,TRK69
70,70,11,2022-04-01,2022-04-08,144.31,TRK70
71,71,11,2022-03-06,2022-03-13,327.99,TRK71
72,72,8,2023-12-03,2023-12-06,211.39,TRK72
73,73,19,2025-03-17,2025-03-27,53.09,TRK73
74,74,14,2024-07-06,2024-07-09,313.61,TRK74
75,75,5,2025-08-06,2025-08-13,71.28,TRK75
76,76,14,2023-10-15,2023-10-18,421.56,TRK76
77,77,9,2024-08-12,2024-08-20,429.18,TRK77
78,78,16,2025-11-16,2025-11-23,23.95,TRK78
79,79,5,2025-10-09,2025-10-13,122.75,TRK79
80,80,19,2024-02-06,2024-02-07,470.39,TRK80
81,81,5,2023-03-22,2023-03-26,128.54,TRK81
82,82,14,2025-09-21,2025-09-24,297.31,TRK82
83,83,18,2023-07-04,2023-07-09,367.61,TRK83
84,84,16,2024-02-19,2024-02-24,33.53,TRK84
85,85,3,2022-06-20,2022-06-28,486.85,TRK85
