gender,loyalty_points,loyalty_tier,registered_on_weekend,loyalty_points_per_year
0.0,3729.0,4.0,0.0,772.05
0.0,2326.0,4.0,1.0,535.94
0.0,1842.0,4.0,1.0,369.14
0.0,1116.0,4.0,1.0,962.07
1.0,3115.0,4.0,1.0,862.88
1.0,3902.0,4.0,1.0,684.56
0.0,35.0,1.0,0.0,21.6
1.0,1138.0,4.0,1.0,6694.12
0.0,864.0,3.0,1.0,474.73
0.0,2858.0,4.0,0.0,758.09
0.0,1082.0,4.0,1.0,411.41
1.0,4575.0,4.0,0.0,2446.52
1.0,3307.0,4.0,0.0,19452.94
0.0,1153.0,4.0,1.0,319.39
0.0,810.0,3.0,0.0,206.11
1.0,4042.0,4.0,1.0,738.94
1.0,485.0,2.0,1.0,400.83
0.0,2615.0,4.0,0.0,689.97
0.0,3361.0,4.0,1.0,1806.99
1.0,3270.0,4.0,0.0,853.79
0.0,2341.0,4.0,0.0,7093.94
0.0,1142.0,4.0,0.0,1087.62
0.0,966.0,3.0,0.0,166.84
0.0,4309.0,4.0,0.0,4735.16
0.0,3710.0,4.0,0.0,1733.64
1.0,4562.0,4.0,0.0,2363.73
0.0,1399.0,4.0,0.0,234.34
1.0,4948.0,4.0,0.0,23561.9
0.0,3613.0,4.0,1.0,995.32
0.0,4158.0,4.0,0.0,784.53
0.0,1338.0,4.0,0.0,264.43
1.0,1340.0,4.0,1.0,2000.0
0.0,1229.0,4.0,0.0,304.96
0.0,2225.0,4.0,0.0,590.19
0.0,4944.0,4.0,0.0,7270.59
1.0,3232.0,4.0,1.0,2045.57
0.0,3228.0,4.0,0.0,562.37
0.0,140.0,2.0,0.0,31.82
1.0,2524.0,4.0,0.0,867.35
0.0,1345.0,4.0,0.0,1120.83
0.0,226.0,2.0,1.0,51.02
0.0,954.0,3.0,0.0,445.79
0.0,799.0,3.0,0.0,574.82
1.0,2694.0,4.0,0.0,554.32
0.0,2812.0,4.0,0.0,4260.61
1.0,2722.0,4.0,0.0,889.54
1.0,2951.0,4.0,0.0,3513.1
0.0,4110.0,4.0,1.0,2956.83
0.0,3659.0,4.0,0.0,1686.18
1.0,567.0,3.0,0.0,150.4
0.0,3242.0,4.0,0.0,550.42
1.0,3136.0,4.0,1.0,2063.16
1.0,23.0,1.0,1.0,9.43
0.0,4644.0,4.0,1.0,4300.0
1.0,4631.0,4.0,0.0,7718.33
0.0,4654.0,4.0,1.0,10577.27
0.0,4220.0,4.0,0.0,4057.69
0.0,2925.0,4.0,1.0,2267.44
1.0,323.0,2.0,0.0,54.93
1.0,574.0,3.0,1.0,203.55
0.0,2793.0,4.0,1.0,1382.67
0.0,1088.0,4.0,1.0,1450.67
1.0,1418.0,4.0,0.0,719.8
0.0,2241.0,4.0,0.0,440.28
1.0,176.0,2.0,1.0,212.05
1.0,2584.0,4.0,0.0,6152.38
1.0,2904.0,4.0,0.0,-36300.0
0.0,3127.0,4.0,0.0,20846.67
0.0,396.0,2.0,0.0,1980.0
0.0,2876.0,4.0,0.0,22123.08
1.0,3025.0,4.0,0.0,504.17
0.0,4594.0,4.0,0.0,1431.15
0.0,4886.0,4.0,0.0,1364.8
0.0,2822.0,4.0,0.0,873.68
1.0,3022.0,4.0,1.0,610.51
0.0,4861.0,4.0,0.0,1068.35
0.0,4773.0,4.0,0.0,905.69
1.0,519.0,3.0,1.0,640.74
1.0,402.0,2.0,0.0,275.34
1.0,2111.0,4.0,1.0,657.63
1.0,1624.0,4.0,0.0,528.99
1.0,264.0,2.0,0.0,338.46
0.0,1899.0,4.0,1.0,1543.9
1.0,4248.0,4.0,0.0,1823.18
0.0,435.0,2.0,0.0,97.53
0.0,1530.0,4.0,0.0,473.68
0.0,4270.0,4.0,0.0,914.35
1.0,2669.0,4.0,1.0,459.38
0.0,2970.0,4.0,0.0,600.0
0.0,3198.0,4.0,0.0,590.04
0.0,3599.0,4.0,0.0,607.94
0.0,3744.0,4.0,0.0,3284.21
0.0,4690.0,4.0,1.0,5790.12
1.0,3741.0,4.0,1.0,654.02
0.0,3735.0,4.0,0.0,-37350.0
1.0,2801.0,4.0,0.0,10374.07
1.0,3648.0,4.0,1.0,4864.0
0.0,1189.0,4.0,0.0,217.77
0.0,1810.0,4.0,1.0,3016.67
1.0,1981.0,4.0,0.0,399.4
1.0,1725.0,4.0,1.0,730.93
1.0,3925.0,4.0,1.0,1286.89
1.0,3578.0,4.0,0.0,-14312.0
0.0,550.0,3.0,0.0,312.5
0.0,4955.0,4.0,0.0,3995.97
1.0,610.0,3.0,0.0,140.55
0.0,3843.0,4.0,0.0,935.04
1.0,2652.0,4.0,0.0,-13260.0
0.0,3812.0,4.0,0.0,713.86
1.0,4511.0,4.0,0.0,821.68
0.0,360.0,2.0,0.0,-2117.65
0.0,4054.0,4.0,0.0,67566.67
1.0,2534.0,4.0,1.0,892.25
0.0,1409.0,4.0,0.0,378.76
0.0,1465.0,4.0,1.0,-11269.23
0.0,493.0,2.0,0.0,178.62
0.0,3039.0,4.0,0.0,2095.86
1.0,536.0,3.0,1.0,-5955.56
1.0,1274.0,4.0,1.0,218.9
1.0,2654.0,4.0,0.0,745.51
0.0,1875.0,4.0,0.0,3826.53
1.0,3885.0,4.0,0.0,1363.16
1.0,3677.0,4.0,0.0,733.93
1.0,2628.0,4.0,0.0,591.89
1.0,4164.0,4.0,0.0,713.01
1.0,1933.0,4.0,0.0,334.43
1.0,155.0,2.0,0.0,1937.5
1.0,1103.0,4.0,1.0,361.64
1.0,4055.0,4.0,0.0,1158.57
1.0,3999.0,4.0,0.0,838.36
1.0,2313.0,4.0,0.0,472.04
1.0,4501.0,4.0,0.0,10716.67
0.0,2785.0,4.0,1.0,564.91
0.0,2303.0,4.0,0.0,4187.27
0.0,4357.0,4.0,1.0,1097.48
1.0,2155.0,4.0,0.0,3475.81
0.0,2063.0,4.0,0.0,644.69
1.0,3219.0,4.0,0.0,551.2
0.0,792.0,3.0,1.0,259.67
0.0,3657.0,4.0,0.0,3693.94
1.0,673.0,3.0,0.0,118.28
1.0,2435.0,4.0,0.0,2213.64
0.0,708.0,3.0,0.0,198.32
0.0,3247.0,4.0,0.0,649.4
1.0,4639.0,4.0,0.0,2034.65
1.0,4271.0,4.0,0.0,745.38
1.0,2313.0,4.0,0.0,507.24
1.0,367.0,2.0,1.0,150.41
1.0,2970.0,4.0,1.0,1757.4
0.0,673.0,3.0,0.0,156.88
0.0,1800.0,4.0,0.0,316.34
0.0,1132.0,4.0,0.0,-6288.89
0.0,4724.0,4.0,1.0,791.29
0.0,4145.0,4.0,0.0,1439.24
0.0,3601.0,4.0,1.0,3601.0
0.0,2855.0,4.0,1.0,483.08
0.0,34.0,1.0,0.0,24.64
1.0,4594.0,4.0,1.0,5404.71
1.0,3667.0,4.0,0.0,664.31
1.0,1207.0,4.0,1.0,265.27
1.0,2600.0,4.0,0.0,471.01
1.0,1765.0,4.0,1.0,656.13
1.0,2729.0,4.0,0.0,614.64
0.0,1467.0,4.0,0.0,577.56
1.0,55.0,1.0,0.0,9.17
1.0,3369.0,4.0,0.0,3239.42
0.0,1369.0,4.0,1.0,728.19
0.0,1505.0,4.0,0.0,929.01
1.0,2993.0,4.0,0.0,1519.29
1.0,3685.0,4.0,1.0,673.67
0.0,559.0,3.0,1.0,-4300.0
1.0,614.0,3.0,0.0,451.47
1.0,1861.0,4.0,0.0,401.08
0.0,3515.0,4.0,1.0,1264.39
1.0,1486.0,4.0,0.0,687.96
0.0,4386.0,4.0,1.0,20885.71
0.0,2395.0,4.0,0.0,643.82
1.0,4934.0,4.0,1.0,4568.52
0.0,65.0,1.0,0.0,22.18
1.0,3402.0,4.0,0.0,3581.05
0.0,1104.0,4.0,0.0,189.04
1.0,3539.0,4.0,0.0,776.1
1.0,4466.0,4.0,0.0,9114.29
0.0,4960.0,4.0,0.0,2339.62
1.0,119.0,2.0,0.0,51.97
0.0,1617.0,4.0,0.0,428.91
1.0,1164.0,4.0,1.0,420.22
0.0,3238.0,4.0,0.0,1974.39
1.0,1734.0,4.0,1.0,597.93
1.0,267.0,2.0,1.0,-1160.87
0.0,3885.0,4.0,0.0,855.73
1.0,2047.0,4.0,1.0,445.97
1.0,299.0,2.0,0.0,296.04
1.0,2832.0,4.0,0.0,566.4
