inventory_id,product_id,warehouse_id,quantity_available,reorder_level,last_updated
1,1379,14,254,11,2026-06-12 19:56:22.083155
2,829,19,31,38,2026-06-12 19:56:22.083177
3,1609,2,305,49,2026-06-12 19:56:22.083185
4,259,5,170,21,2026-06-12 19:56:22.083191
5,507,10,53,33,2026-06-12 19:56:22.083196
6,315,12,371,16,2026-06-12 19:56:22.083202
7,1625,7,169,43,2026-06-12 19:56:22.083208
8,1679,9,83,47,2026-06-12 19:56:22.083215
9,317,12,378,37,2026-06-12 19:56:22.083222
10,1566,12,500,39,2026-06-12 19:56:22.083228
11,535,3,474,41,2026-06-12 19:56:22.083234
12,758,15,221,36,2026-06-12 19:56:22.083240
13,1030,17,188,16,2026-06-12 19:56:22.083273
14,793,8,333,13,2026-06-12 19:56:22.083279
15,930,9,418,24,2026-06-12 19:56:22.083285
16,1969,15,82,30,2026-06-12 19:56:22.083291
17,527,9,16,41,2026-06-12 19:56:22.083298
18,1181,2,250,10,2026-06-12 19:56:22.083304
19,1364,8,351,14,2026-06-12 19:56:22.083310
20,529,9,88,28,2026-06-12 19:56:22.083317
21,1501,20,189,45,2026-06-12 19:56:22.083323
22,1847,2,196,42,2026-06-12 19:56:22.083329
23,276,13,107,11,2026-06-12 19:56:22.083335
24,503,10,86,17,2026-06-12 19:56:22.083342
25,1079,19,455,46,2026-06-12 19:56:22.083348
26,487,5,121,21,2026-06-12 19:56:22.083355
27,791,19,241,20,2026-06-12 19:56:22.083361
28,495,20,190,50,2026-06-12 19:56:22.083367
29,1367,20,125,42,2026-06-12 19:56:22.083373
30,900,9,164,50,2026-06-12 19:56:22.083379
31,1532,9,463,19,2026-06-12 19:56:22.083385
32,497,10,294,36,2026-06-12 19:56:22.083391
33,1311,16,487,22,2026-06-12 19:56:22.083397
34,1761,15,229,23,2026-06-12 19:56:22.083404
35,698,17,209,45,2026-06-12 19:56:22.083410
36,673,6,261,22,2026-06-12 19:56:22.083416
37,1096,12,240,37,2026-06-12 19:56:22.083422
38,1041,14,353,33,2026-06-12 19:56:22.083428
39,1652,15,68,18,2026-06-12 19:56:22.083434
40,214,4,303,24,2026-06-12 19:56:22.083440
41,1439,12,462,22,2026-06-12 19:56:22.083446
42,1406,13,195,47,2026-06-12 19:56:22.083453
43,1730,6,245,35,2026-06-12 19:56:22.083460
44,293,8,22,49,2026-06-12 19:56:22.083466
45,384,12,115,14,2026-06-12 19:56:22.083472
46,1014,4,101,42,2026-06-12 19:56:22.083477
47,1198,7,28,30,2026-06-12 19:56:22.083483
48,1650,8,498,48,2026-06-12 19:56:22.083489
49,1170,9,497,22,2026-06-12 19:56:22.083495
50,1497,16,194,43,2026-06-12 19:56:22.083501
51,984,7,58,26,2026-06-12 19:56:22.083507
52,17,17,154,15,2026-06-12 19:56:22.083513
53,533,9,118,34,2026-06-12 19:56:22.083519
54,1928,18,416,10,2026-06-12 19:56:22.083526
55,1411,1,277,19,2026-06-12 19:56:22.083541
56,1189,13,312,36,2026-06-12 19:56:22.083550
57,989,9,49,21,2026-06-12 19:56:22.083556
58,147,2,176,35,2026-06-12 19:56:22.083562
59,1201,18,294,19,2026-06-12 19:56:22.083568
60,1124,1,463,11,2026-06-12 19:56:22.083575
61,1981,16,257,24,2026-06-12 19:56:22.083594
62,1421,8,158,31,2026-06-12 19:56:22.083600
63,1028,2,315,33,2026-06-12 19:56:22.083605
64,717,2,46,46,2026-06-12 19:56:22.083611
65,1424,17,99,35,2026-06-12 19:56:22.083616
66,1141,4,146,19,2026-06-12 19:56:22.083623
67,1937,1,62,46,2026-06-12 19:56:22.083628
68,1443,1,184,16,2026-06-12 19:56:22.083634
69,1828,5,465,43,2026-06-12 19:56:22.083639
70,100,4,234,27,2026-06-12 19:56:22.083652
71,1369,6,150,39,2026-06-12 19:56:22.083657
72,170,19,386,40,2026-06-12 19:56:22.083663
73,982,18,87,50,2026-06-12 19:56:22.083668
74,1324,11,275,29,2026-06-12 19:56:22.083673
75,1694,20,153,50,2026-06-12 19:56:22.083679
76,453,9,372,37,2026-06-12 19:56:22.083684
77,274,19,317,31,2026-06-12 19:56:22.083690
78,177,11,138,10,2026-06-12 19:56:22.083696
79,1052,4,44,15,2026-06-12 19:56:22.083701
80,1410,16,37,12,2026-06-12 19:56:22.083707
81,154,4,83,36,2026-06-12 19:56:22.083712
82,307,6,422,25,2026-06-12 19:56:22.083718
83,890,1,387,13,2026-06-12 19:56:22.083723
84,710,8,421,10,2026-06-12 19:56:22.083729
85,589,3,32,25,2026-06-12 19:56:22.083735
86,1772,18,363,37,2026-06-12 19:56:22.083740
87,1203,8,318,41,2026-06-12 19:56:22.083745
88,1926,15,468,37,2026-06-12 19:56:22.083750
89,1602,10,155,46,2026-06-12 19:56:22.083756
90,1218,19,440,30,2026-06-12 19:56:22.083761
91,169,9,248,36,2026-06-12 19:56:22.083766
92,1776,15,425,26,2026-06-12 19:56:22.083772
93,464,1,365,19,2026-06-12 19:56:22.083777
94,1439,3,62,46,2026-06-12 19:56:22.083784
95,1708,14,52,40,2026-06-12 19:56:22.083789
96,1619,20,63,35,2026-06-12 19:56:22.083795
97,123,5,29,50,2026-06-12 19:56:22.083801
98,1529,17,165,23,2026-06-12 19:56:22.083815
99,753,9,488,50,2026-06-12 19:56:22.083822
100,1919,15,18,32,2026-06-12 19:56:22.083827
101,309,10,206,30,2026-06-12 19:56:22.083833
102,1371,1,60,23,2026-06-12 19:56:22.083839
103,792,5,33,10,2026-06-12 19:56:22.083845
104,1443,18,166,37,2026-06-12 19:56:22.083850
105,490,11,254,26,2026-06-12 19:56:22.083856
106,842,10,163,32,2026-06-12 19:56:22.083862
107,1532,6,319,23,2026-06-12 19:56:22.083869
108,1994,15,62,43,2026-06-12 19:56:22.083874
109,20,5,101,47,2026-06-12 19:56:22.083880
110,936,10,177,42,2026-06-12 19:56:22.083886
111,682,5,488,33,2026-06-12 19:56:22.083891
112,1168,9,490,22,2026-06-12 19:56:22.083897
113,1440,14,287,38,2026-06-12 19:56:22.083903
114,1477,7,298,30,2026-06-12 19:56:22.083909
115,1777,8,293,46,2026-06-12 19:56:22.083914
116,68,11,316,23,2026-06-12 19:56:22.083920
117,50,10,238,14,2026-06-12 19:56:22.083925
118,1296,12,404,50,2026-06-12 19:56:22.083931
119,1857,8,436,14,2026-06-12 19:56:22.083937
120,676,17,237,16,2026-06-12 19:56:22.083942
121,1196,13,89,25,2026-06-12 19:56:22.083947
122,696,11,402,46,2026-06-12 19:56:22.083953
123,184,20,295,43,2026-06-12 19:56:22.083959
124,1728,3,113,21,2026-06-12 19:56:22.083964
125,1378,13,80,46,2026-06-12 19:56:22.083970
126,1478,13,250,15,2026-06-12 19:56:22.083975
127,243,5,361,29,2026-06-12 19:56:22.083982
128,748,7,167,50,2026-06-12 19:56:22.083988
129,1865,17,88,28,2026-06-12 19:56:22.083993
130,1443,1,466,46,2026-06-12 19:56:22.084000
131,882,6,260,20,2026-06-12 19:56:22.084006
132,1551,12,27,47,2026-06-12 19:56:22.084012
133,1580,8,414,43,2026-06-12 19:56:22.084018
134,247,20,203,11,2026-06-12 19:56:22.084034
135,81,17,76,17,2026-06-12 19:56:22.084040
136,1827,2,42,46,2026-06-12 19:56:22.084045
137,1345,1,81,47,2026-06-12 19:56:22.084051
138,1079,19,36,28,2026-06-12 19:56:22.084057
139,1997,11,347,35,2026-06-12 19:56:22.084063
140,479,16,95,47,2026-06-12 19:56:22.084069
141,319,2,322,47,2026-06-12 19:56:22.084075
142,1292,15,0,19,2026-06-12 19:56:22.084081
143,53,11,120,31,2026-06-12 19:56:22.084087
144,1643,20,116,13,2026-06-12 19:56:22.084093
145,580,16,68,47,2026-06-12 19:56:22.084099
146,1481,4,393,22,2026-06-12 19:56:22.084106
147,1709,12,129,31,2026-06-12 19:56:22.084111
148,324,3,15,50,2026-06-12 19:56:22.084117
149,1950,1,247,12,2026-06-12 19:56:22.084123
150,1704,10,25,46,2026-06-12 19:56:22.084130
151,1252,13,137,49,2026-06-12 19:56:22.084136
152,1592,13,24,19,2026-06-12 19:56:22.084142
153,1573,14,425,20,2026-06-12 19:56:22.084148
154,1865,12,46,14,2026-06-12 19:56:22.084153
155,610,20,50,21,2026-06-12 19:56:22.084159
156,793,20,204,35,2026-06-12 19:56:22.084165
157,883,20,203,50,2026-06-12 19:56:22.084171
158,1922,16,44,33,2026-06-12 19:56:22.084176
159,1712,20,305,47,2026-06-12 19:56:22.084182
160,1008,17,435,25,2026-06-12 19:56:22.084188
161,1148,16,162,24,2026-06-12 19:56:22.084193
162,1350,2,103,50,2026-06-12 19:56:22.084199
163,529,7,483,25,2026-06-12 19:56:22.084206
164,1808,17,337,25,2026-06-12 19:56:22.084212
165,1258,15,104,42,2026-06-12 19:56:22.084218
166,18,10,472,28,2026-06-12 19:56:22.084223
167,1751,13,92,27,2026-06-12 19:56:22.084230
168,554,9,392,15,2026-06-12 19:56:22.084235
169,1298,5,349,21,2026-06-12 19:56:22.084241
170,761,15,25,37,2026-06-12 19:56:22.084255
171,343,19,418,21,2026-06-12 19:56:22.084263
172,1734,11,485,46,2026-06-12 19:56:22.084269
173,391,3,141,37,2026-06-12 19:56:22.084275
174,1057,9,192,38,2026-06-12 19:56:22.084286
175,157,12,348,35,2026-06-12 19:56:22.084293
176,1627,6,334,12,2026-06-12 19:56:22.084301
177,1173,4,92,24,2026-06-12 19:56:22.084307
178,335,18,36,30,2026-06-12 19:56:22.084313
179,1406,5,124,24,2026-06-12 19:56:22.084319
180,1382,13,463,40,2026-06-12 19:56:22.084324
181,596,12,497,19,2026-06-12 19:56:22.084330
182,711,15,90,13,2026-06-12 19:56:22.084337
183,1803,10,416,10,2026-06-12 19:56:22.084343
184,600,9,252,50,2026-06-12 19:56:22.084348
185,1822,19,194,31,2026-06-12 19:56:22.084354
186,490,18,304,33,2026-06-12 19:56:22.084360
187,1896,18,459,19,2026-06-12 19:56:22.084366
188,540,19,192,17,2026-06-12 19:56:22.084372
189,64,12,442,16,2026-06-12 19:56:22.084377
190,1990,2,2,14,2026-06-12 19:56:22.084383
191,906,8,28,26,2026-06-12 19:56:22.084389
192,1034,3,140,48,2026-06-12 19:56:22.084395
193,173,8,418,32,2026-06-12 19:56:22.084401
194,544,16,331,15,2026-06-12 19:56:22.084407
195,1719,17,250,27,2026-06-12 19:56:22.084413
196,983,15,336,11,2026-06-12 19:56:22.084419
197,331,19,161,27,2026-06-12 19:56:22.084425
198,912,5,28,27,2026-06-12 19:56:22.084431
199,1784,9,428,23,2026-06-12 19:56:22.084437
200,1857,6,73,12,2026-06-12 19:56:22.084443
201,195,1,258,50,2026-06-12 19:56:22.084449
202,1100,5,255,40,2026-06-12 19:56:22.084459
203,1967,8,38,38,2026-06-12 19:56:22.084465
204,1641,10,182,44,2026-06-12 19:56:22.084471
