management_id,order_id,employee_id,action_date,action_type
1,1,379,2022-05-03,Packed
2,2,74,2022-03-29,Packed
3,3,279,2023-10-03,Dispatched
4,4,443,2025-02-13,Dispatched
5,5,226,2025-11-23,Dispatched
6,6,35,2022-10-17,Created
7,7,3,2025-10-23,Packed
8,8,268,2025-09-04,Created
9,9,56,2023-09-21,Dispatched
10,10,371,2026-04-04,Packed
11,11,81,2025-05-18,Packed
12,12,232,2023-10-03,Dispatched
13,13,421,2023-06-19,Packed
14,14,458,2023-05-30,Packed
15,15,381,2026-02-12,Packed
16,16,101,2025-06-09,Dispatched
17,17,61,2024-03-08,Created
18,18,307,2025-04-27,Created
19,19,357,2023-12-15,Created
20,20,440,2023-08-23,Packed
21,21,66,2026-03-02,Packed
22,22,234,2025-04-10,Dispatched
23,23,412,2024-02-12,Packed
24,24,37,2022-05-08,Packed
25,25,433,2025-04-01,Dispatched
26,26,166,2022-07-03,Packed
27,27,478,2024-01-25,Packed
28,28,132,2023-04-07,Packed
29,29,245,2023-06-21,Created
30,30,22,2024-05-15,Packed
31,31,305,2022-08-18,Packed
32,32,85,2025-07-23,Packed
33,33,335,2023-06-06,Dispatched
34,34,138,2022-03-01,Dispatched
35,35,143,2023-10-04,Created
36,36,161,2025-03-30,Packed
37,37,463,2023-12-23,Packed
38,38,428,2026-04-30,Dispatched
39,39,77,2025-05-28,Packed
40,40,304,2025-03-10,Created
41,41,171,2022-11-11,Packed
42,42,112,2025-05-16,Created
43,43,474,2026-04-04,Created
44,44,139,2024-08-21,Created
45,45,299,2023-07-29,Created
46,46,358,2022-02-02,Dispatched
47,47,373,2022-05-22,Dispatched
48,48,26,2023-06-10,Dispatched
49,49,205,2023-05-17,Dispatched
50,50,78,2024-06-27,Dispatched
51,51,240,2025-06-12,Packed
52,52,397,2026-01-02,Created
53,53,359,2025-11-30,Dispatched
54,54,370,2024-09-16,Packed
55,55,376,2026-04-26,Dispatched
56,56,43,2025-06-29,Dispatched
57,57,15,2024-11-28,Created
58,58,441,2024-12-06,Created
59,59,96,2024-09-06,Dispatched
60,60,42,2026-04-09,Created
61,61,192,2025-04-24,Created
62,62,342,2026-01-04,Dispatched
63,63,348,2022-08-31,Dispatched
64,64,364,2025-09-25,Created
65,65,400,2023-11-13,Dispatched
66,66,99,2022-08-24,Dispatched
67,67,172,2024-12-18,Packed
68,68,227,2025-04-16,Dispatched
69,69,115,2022-05-03,Created
70,70,420,2022-04-01,Packed
71,71,106,2022-03-06,Created
72,72,469,2023-12-03,Created
73,73,492,2025-03-17,Created
74,74,263,2024-07-06,Packed
75,75,383,2025-08-06,Packed
76,76,354,2023-10-15,Created
77,77,382,2024-08-12,Packed
78,78,135,2025-11-16,Created
79,79,276,2025-10-09,Dispatched
80,80,436,2024-02-06,Dispatched
81,81,498,2023-03-22,Created
82,82,366,2025-09-21,Packed
83,83,432,2023-07-04,Packed
84,84,22,2024-02-19,Created
85,85,452,2022-06-20,Created
86,86,33,2025-10-09,Created
87,87,432,2022-06-05,Dispatched
88,88,171,2022-10-05,Dispatched
89,89,100,2023-02-17,Dispatched
90,90,50,2024-08-08,Packed
91,91,467,2026-04-07,Created
92,92,418,2024-08-12,Packed
93,93,331,2023-09-22,Packed
94,94,292,2025-02-24,Packed
95,95,181,2026-02-23,Dispatched
96,96,284,2024-01-04,Packed
97,97,220,2025-10-13,Packed
98,98,453,2022-06-14,Packed
99,99,96,2023-11-14,Dispatched
100,100,94,2022-04-13,Dispatched
101,101,474,2024-12-15,Packed
102,102,66,2022-05-30,Created
103,103,323,2024-07-23,Created
104,104,264,2023-07-08,Packed
105,105,319,2024-10-07,Created
106,106,341,2023-11-03,Packed
107,107,159,2023-06-07,Packed
108,108,414,2025-04-06,Dispatched
109,109,176,2025-09-26,Created
110,110,382,2023-01-25,Dispatched
111,111,180,2023-12-20,Dispatched
112,112,362,2022-05-25,Dispatched
113,113,422,2023-05-09,Created
114,114,452,2026-04-21,Packed
115,115,463,2025-07-31,Dispatched
116,116,418,2022-04-24,Created
117,117,434,2024-03-31,Dispatched
118,118,311,2025-10-18,Dispatched
119,119,260,2025-11-04,Dispatched
120,120,17,2025-05-18,Created
121,121,106,2024-03-23,Created
122,122,319,2022-09-12,Packed
123,123,254,2024-04-20,Packed
124,124,89,2023-08-01,Dispatched
125,125,35,2022-06-05,Packed
126,126,320,2023-10-25,Created
127,127,376,2025-09-21,Dispatched
128,128,470,2024-06-07,Packed
129,129,238,2022-12-17,Created
130,130,223,2026-03-20,Created
131,131,261,2024-05-19,Dispatched
132,132,161,2024-02-11,Created
133,133,115,2025-09-08,Dispatched
134,134,91,2025-11-15,Dispatched
135,135,186,2022-05-19,Packed
136,136,435,2022-07-13,Packed
137,137,168,2026-02-10,Packed
138,138,419,2022-07-14,Created
139,139,243,2022-12-14,Packed
140,140,9,2024-09-07,Created
141,141,190,2022-10-12,Packed
142,142,54,2025-12-30,Created
143,143,410,2022-01-19,Created
