order_id,customer_id,order_date,order_status,total_amount
1,2876,2022-05-03,Returned,102324.45
2,3494,2022-03-29,Delivered,127415.79
3,375,2023-10-03,Delivered,69755.81
4,214,2025-02-13,Delivered,5948.94
5,2438,2025-11-23,Delivered,20841.18
6,4748,2022-10-17,Delivered,36831.67
7,3231,2025-10-23,Delivered,46639.96
8,2348,2025-09-04,Cancelled,79546.5
9,1881,2023-09-21,Delivered,133759.67
10,4030,2026-04-04,Delivered,5190.87
11,2835,2025-05-18,Delivered,93101.39
12,962,2023-10-03,Returned,21095.39
13,1826,2023-06-19,Cancelled,79045.57
14,3621,2023-05-30,Returned,43343.02
15,685,2026-02-12,Delivered,6866.44
16,1944,2025-06-09,Returned,85360.63
17,1604,2024-03-08,Delivered,90786.8
18,2288,2025-04-27,Delivered,138150.53
19,3783,2023-12-15,Delivered,26894.11
20,3987,2023-08-23,Cancelled,140361.87
21,3065,2026-03-02,Delivered,60105.88
22,1262,2025-04-10,Delivered,25042.41
23,586,2024-02-12,Delivered,119309.88
24,441,2022-05-08,Returned,116537.65
25,1991,2025-04-01,Returned,101189.98
26,3913,2022-07-03,Delivered,116835.52
27,339,2024-01-25,Returned,7872.03
28,4626,2023-04-07,Delivered,47234.93
29,2525,2023-06-21,Delivered,821.52
30,3151,2024-05-15,Delivered,17613.64
31,2063,2022-08-18,Delivered,117742.94
32,2252,2025-07-23,Delivered,136889.18
33,4948,2023-06-06,Shipped,44065.89
34,1986,2022-03-01,Delivered,147365.96
35,4962,2023-10-04,Delivered,48251.91
36,3965,2025-03-30,Confirmed,3166.28
37,4784,2023-12-23,Delivered,93037.48
38,4203,2026-04-30,Delivered,97276.68
39,452,2025-05-28,Confirmed,99371.06
40,645,2025-03-10,Delivered,52973.93
41,4119,2022-11-11,Delivered,143546.33
42,2627,2025-05-16,Returned,5209.16
43,4400,2026-04-04,Cancelled,144425.2
44,757,2024-08-21,Delivered,139582.48
45,2376,2023-07-29,Delivered,26481.56
46,4171,2022-02-02,Delivered,136558.47
47,4171,2022-05-22,Delivered,60322.15
48,2699,2023-06-10,Delivered,95900.9
49,386,2023-05-17,Delivered,73462.45
50,1069,2024-06-27,Delivered,42187.99
51,2949,2025-06-12,Delivered,113019.96
52,4107,2026-01-02,Cancelled,121271.16
53,2531,2025-11-30,Delivered,26882.96
54,3630,2024-09-16,Delivered,65301.81
55,3912,2026-04-26,Delivered,93837.8
56,4874,2025-06-29,Delivered,120902.71
57,4159,2024-11-28,Delivered,62805.12
58,738,2024-12-06,Returned,136510.41
59,4910,2024-09-06,Delivered,21859.19
60,2786,2026-04-09,Cancelled,81269.03
61,227,2025-04-24,Returned,126132.08
62,3304,2026-01-04,Returned,85567.06
63,2816,2022-08-31,Delivered,80258.1
64,1025,2025-09-25,Delivered,35508.69
65,3826,2023-11-13,Delivered,73477.94
66,2671,2022-08-24,Delivered,122626.95
67,2384,2024-12-18,Delivered,145488.15
68,1066,2025-04-16,Cancelled,109444.85
69,4804,2022-05-03,Delivered,56155.51
70,4697,2022-04-01,Returned,123038.45
71,2755,2022-03-06,Delivered,100456.18
72,2628,2023-12-03,Returned,72183.27
73,3339,2025-03-17,Delivered,143509.27
74,1802,2024-07-06,Delivered,87598.89
75,3287,2025-08-06,Delivered,29684.83
76,1234,2023-10-15,Delivered,144247.09
77,2657,2024-08-12,Delivered,54042.91
78,2234,2025-11-16,Delivered,10221.16
79,3113,2025-10-09,Delivered,133156.0
80,626,2024-02-06,Delivered,49161.73
81,2066,2023-03-22,Delivered,78525.16
82,4790,2025-09-21,Delivered,78705.13
83,2915,2023-07-04,Delivered,133394.13
84,4406,2024-02-19,Delivered,8855.39
85,3851,2022-06-20,Delivered,75453.87
86,520,2025-10-09,Shipped,75187.1
87,4086,2022-06-05,Delivered,142040.28
88,2893,2022-10-05,Delivered,121907.19
89,1659,2023-02-17,Delivered,62038.89
90,841,2024-08-08,Delivered,9085.98
91,2257,2026-04-07,Delivered,33608.81
92,995,2024-08-12,Delivered,107347.36
93,1627,2023-09-22,Delivered,115291.01
94,864,2025-02-24,Pending,7679.09
95,4687,2026-02-23,Returned,102414.45
96,3275,2024-01-04,Delivered,21619.75
97,130,2025-10-13,Delivered,19220.83
98,962,2022-06-14,Delivered,58428.12
99,2547,2023-11-14,Delivered,148929.97
100,1650,2022-04-13,Delivered,57535.91
101,863,2024-12-15,Delivered,67221.86
102,3271,2022-05-30,Delivered,85156.91
103,1333,2024-07-23,Delivered,144361.2
104,1987,2023-07-08,Delivered,145922.45
105,1538,2024-10-07,Returned,68962.82
106,2051,2023-11-03,Delivered,42167.58
107,3575,2023-06-07,Delivered,52057.74
108,3590,2025-04-06,Delivered,3283.21
109,4913,2025-09-26,Delivered,38861.17
110,2712,2023-01-25,Delivered,70623.35
111,1137,2023-12-20,Delivered,60631.19
112,686,2022-05-25,Returned,114723.96
113,2662,2023-05-09,Delivered,79995.55
114,3643,2026-04-21,Delivered,65985.29
115,32,2025-07-31,Delivered,119829.43
116,2096,2022-04-24,Delivered,142807.78
117,3744,2024-03-31,Delivered,101076.14
118,4507,2025-10-18,Delivered,133374.13
119,3513,2025-11-04,Delivered,90767.09
120,4020,2025-05-18,Delivered,127482.16
121,2536,2024-03-23,Delivered,109883.76
122,133,2022-09-12,Pending,58088.07
123,2114,2024-04-20,Delivered,61269.27
124,331,2023-08-01,Delivered,108066.42
