payment_id,order_id,payment_date,payment_method,payment_status,amount
1,1,2022-05-03,COD,Completed,102324.45
2,2,2022-03-29,UPI,Completed,127415.79
3,3,2023-10-03,UPI,Completed,69755.81
4,4,2025-02-13,Debit Card,Completed,5948.94
5,5,2025-11-23,COD,Completed,20841.18
6,6,2022-10-17,UPI,Completed,36831.67
7,7,2025-10-23,COD,Completed,46639.96
8,8,2025-09-04,Credit Card,Completed,79546.5
9,9,2023-09-21,Debit Card,Completed,133759.67
10,10,2026-04-04,Wallet,Completed,5190.87
11,11,2025-05-18,COD,Completed,93101.39
12,12,2023-10-03,Debit Card,Completed,21095.39
13,13,2023-06-19,Credit Card,Completed,79045.57
14,14,2023-05-30,Wallet,Completed,43343.02
15,15,2026-02-12,Wallet,Completed,6866.44
16,16,2025-06-09,UPI,Completed,85360.63
17,17,2024-03-08,Debit Card,Completed,90786.8
18,18,2025-04-27,UPI,Completed,138150.53
19,19,2023-12-15,Wallet,Completed,26894.11
20,20,2023-08-23,Credit Card,Completed,140361.87
21,21,2026-03-02,COD,Completed,60105.88
22,22,2025-04-10,Wallet,Completed,25042.41
23,23,2024-02-12,Wallet,Completed,119309.88
24,24,2022-05-08,COD,Completed,116537.65
25,25,2025-04-01,Debit Card,Completed,101189.98
26,26,2022-07-03,COD,Completed,116835.52
27,27,2024-01-25,Credit Card,Completed,7872.03
28,28,2023-04-07,COD,Completed,47234.93
29,29,2023-06-21,Credit Card,Completed,821.52
30,30,2024-05-15,Debit Card,Completed,17613.64
31,31,2022-08-18,COD,Completed,117742.94
32,32,2025-07-23,UPI,Completed,136889.18
33,33,2023-06-06,Credit Card,Completed,44065.89
34,34,2022-03-01,Credit Card,Completed,147365.96
35,35,2023-10-04,Credit Card,Completed,48251.91
36,36,2025-03-30,Wallet,Completed,3166.28
37,37,2023-12-23,Wallet,Completed,93037.48
38,38,2026-04-30,UPI,Completed,97276.68
39,39,2025-05-28,Debit Card,Completed,99371.06
40,40,2025-03-10,UPI,Completed,52973.93
41,41,2022-11-11,Debit Card,Completed,143546.33
42,42,2025-05-16,Wallet,Completed,5209.16
43,43,2026-04-04,Debit Card,Completed,144425.2
44,44,2024-08-21,Debit Card,Completed,139582.48
45,45,2023-07-29,COD,Completed,26481.56
46,46,2022-02-02,COD,Completed,136558.47
47,47,2022-05-22,Wallet,Completed,60322.15
48,48,2023-06-10,Debit Card,Completed,95900.9
49,49,2023-05-17,Wallet,Completed,73462.45
50,50,2024-06-27,Debit Card,Completed,42187.99
51,51,2025-06-12,Wallet,Completed,113019.96
52,52,2026-01-02,Debit Card,Completed,121271.16
53,53,2025-11-30,Wallet,Completed,26882.96
54,54,2024-09-16,UPI,Completed,65301.81
55,55,2026-04-26,UPI,Completed,93837.8
56,56,2025-06-29,Wallet,Completed,120902.71
57,57,2024-11-28,Credit Card,Completed,62805.12
58,58,2024-12-06,COD,Completed,136510.41
59,59,2024-09-06,Wallet,Completed,21859.19
60,60,2026-04-09,Credit Card,Completed,81269.03
61,61,2025-04-24,UPI,Completed,126132.08
62,62,2026-01-04,Credit Card,Completed,85567.06
63,63,2022-08-31,Wallet,Completed,80258.1
64,64,2025-09-25,Wallet,Completed,35508.69
65,65,2023-11-13,UPI,Completed,73477.94
66,66,2022-08-24,UPI,Completed,122626.95
67,67,2024-12-18,Debit Card,Completed,145488.15
68,68,2025-04-16,UPI,Completed,109444.85
69,69,2022-05-03,UPI,Completed,56155.51
70,70,2022-04-01,Credit Card,Completed,123038.45
71,71,2022-03-06,Debit Card,Completed,100456.18
72,72,2023-12-03,Wallet,Completed,72183.27
73,73,2025-03-17,Wallet,Completed,143509.27
74,74,2024-07-06,COD,Completed,87598.89
75,75,2025-08-06,Credit Card,Completed,29684.83
76,76,2023-10-15,Wallet,Completed,144247.09
77,77,2024-08-12,Credit Card,Completed,54042.91
78,78,2025-11-16,COD,Completed,10221.16
79,79,2025-10-09,Credit Card,Completed,133156.0
80,80,2024-02-06,UPI,Completed,49161.73
81,81,2023-03-22,Credit Card,Completed,78525.16
82,82,2025-09-21,COD,Completed,78705.13
83,83,2023-07-04,Credit Card,Completed,133394.13
84,84,2024-02-19,COD,Completed,8855.39
85,85,2022-06-20,COD,Completed,75453.87
86,86,2025-10-09,COD,Completed,75187.1
87,87,2022-06-05,UPI,Completed,142040.28
88,88,2022-10-05,COD,Completed,121907.19
89,89,2023-02-17,Wallet,Completed,62038.89
90,90,2024-08-08,UPI,Completed,9085.98
91,91,2026-04-07,COD,Completed,33608.81
92,92,2024-08-12,Wallet,Completed,107347.36
93,93,2023-09-22,Credit Card,Completed,115291.01
94,94,2025-02-24,Debit Card,Completed,7679.09
95,95,2026-02-23,Wallet,Completed,102414.45
96,96,2024-01-04,Wallet,Completed,21619.75
97,97,2025-10-13,Wallet,Completed,19220.83
98,98,2022-06-14,COD,Completed,58428.12
99,99,2023-11-14,Credit Card,Completed,148929.97
100,100,2022-04-13,COD,Completed,57535.91
101,101,2024-12-15,Wallet,Completed,67221.86
102,102,2022-05-30,Wallet,Completed,85156.91
103,103,2024-07-23,Credit Card,Completed,144361.2
104,104,2023-07-08,UPI,Completed,145922.45
105,105,2024-10-07,Debit Card,Completed,68962.82
106,106,2023-11-03,Credit Card,Completed,42167.58
107,107,2023-06-07,Debit Card,Completed,52057.74
108,108,2025-04-06,Debit Card,Completed,3283.21
109,109,2025-09-26,Credit Card,Completed,38861.17
110,110,2023-01-25,UPI,Completed,70623.35
111,111,2023-12-20,UPI,Completed,60631.19
112,112,2022-05-25,Credit Card,Completed,114723.96
113,113,2023-05-09,COD,Completed,79995.55
114,114,2026-04-21,Credit Card,Completed,65985.29
115,115,2025-07-31,Debit Card,Completed,119829.43
116,116,2022-04-24,Wallet,Completed,142807.78
117,117,2024-03-31,Wallet,Completed,101076.14
118,118,2025-10-18,UPI,Completed,133374.13
119,119,2025-11-04,Debit Card,Completed,90767.09
120,120,2025-05-18,Wallet,Completed,127482.16
121,121,2024-03-23,Debit Card,Completed,109883.76
122,122,2022-09-12,Credit Card,Completed,58088.07
123,123,2024-04-20,COD,Completed,61269.27
124,124,2023-08-01,COD,Completed,108066.42
125,125,2022-06-05,Debit Card,Completed,95546.55
126,126,2023-10-25,Debit Card,Completed,71416.99
127,127,2025-09-21,Debit Card,Completed,105251.58
128,128,2024-06-07,Credit Card,Completed,114164.64
129,129,2022-12-17,COD,Completed,16271.4
130,130,2026-03-20,Credit Card,Completed,37607.03
131,131,2024-05-19,COD,Completed,116940.06
132,132,2024-02-11,UPI,Completed,147195.18
133,133,2025-09-08,COD,Completed,7417.94
134,134,2025-11-15,Wallet,Completed,121458.87
135,135,2022-05-19,UPI,Completed,82090.78
136,136,2022-07-13,Credit Card,Completed,21634.95
137,137,2026-02-10,UPI,Completed,93329.14
138,138,2022-07-14,Wallet,Completed,24574.46
139,139,2022-12-14,COD,Completed,142034.45
140,140,2024-09-07,UPI,Completed,8731.76
141,141,2022-10-12,Credit Card,Completed,48980.74
142,142,2025-12-30,COD,Completed,96905.26
143,143,2022-01-19,UPI,Completed,83671.24
144,144,2024-06-04,UPI,Completed,88291.55
145,145,2025-07-04,Wallet,Completed,149818.76
146,146,2023-11-25,Credit Card,Completed,66006.0
147,147,2024-07-15,Credit Card,Completed,137852.84
148,148,2023-09-03,Debit Card,Completed,146553.05
149,149,2025-04-05,UPI,Completed,64064.13
150,150,2025-10-31,UPI,Completed,144833.36
151,151,2026-05-10,COD,Completed,78537.04
152,152,2024-02-29,COD,Completed,50644.21
153,153,2025-01-27,COD,Completed,137770.4
154,154,2022-04-23,Debit Card,Completed,12885.78
155,155,2023-12-10,UPI,Completed,132358.72
156,156,2023-10-20,Credit Card,Completed,57520.26
157,157,2023-07-31,Debit Card,Completed,18930.26
158,158,2024-04-12,UPI,Completed,137591.54
159,159,2024-04-06,Credit Card,Completed,54744.87
160,160,2023-10-20,Wallet,Completed,34932.98
161,161,2023-12-24,Debit Card,Completed,92579.27
162,162,2025-08-17,Credit Card,Completed,35267.96
163,163,2026-02-18,COD,Completed,109450.47
164,164,2026-02-24,Credit Card,Completed,101604.72
165,165,2026-05-08,Wallet,Completed,85888.89
166,166,2022-06-28,UPI,Completed,42567.54
167,167,2025-01-10,COD,Completed,59189.31
168,168,2024-09-13,Wallet,Completed,97345.33
169,169,2025-04-20,COD,Completed,130128.59
170,170,2024-09-23,Wallet,Completed,24310.26
171,171,2024-07-22,UPI,Completed,63968.8
172,172,2025-10-17,COD,Completed,90408.65
173,173,2024-09-01,Credit Card,Completed,85709.87
174,174,2025-10-15,COD,Completed,124265.37
