product_id,category_id,brand_id,supplier_id,product_name,description,cost_price,selling_price,launch_date,active_status
1,22,19,95,Product_1,Description for product 1,32385.82,51735.94,2023-11-27,True
2,27,67,187,Product_2,Description for product 2,32855.48,53958.08,2020-03-08,True
3,17,23,186,Product_3,Description for product 3,39305.07,45570.18,2020-12-16,True
4,2,86,152,Product_4,Description for product 4,21126.96,37945.31,2024-05-12,True
5,42,39,34,Product_5,Description for product 5,25975.2,38568.42,2020-06-22,True
6,23,13,117,Product_6,Description for product 6,37510.32,42485.65,2023-10-24,True
7,1,40,189,Product_7,Description for product 7,8322.21,11866.22,2025-04-04,True
8,28,76,67,Product_8,Description for product 8,17477.4,21471.37,2021-10-20,True
9,46,87,162,Product_9,Description for product 9,25575.43,28444.66,2022-07-25,True
10,3,34,156,Product_10,Description for product 10,18299.31,23679.85,2022-06-23,True
11,42,67,5,Product_11,Description for product 11,40576.25,50144.41,2023-12-26,True
12,18,5,150,Product_12,Description for product 12,2400.98,3338.29,2021-06-10,True
13,32,47,169,Product_13,Description for product 13,1183.52,1566.23,2020-01-25,True
14,32,51,62,Product_14,Description for product 14,31872.73,50832.23,2022-12-09,True
15,2,38,41,Product_15,Description for product 15,31176.67,48969.37,2026-08-20,True
16,45,75,63,Product_16,Description for product 16,22591.21,27304.56,2022-12-06,True
17,37,8,28,Product_17,Description for product 17,26154.74,42879.76,2025-04-05,True
18,37,58,121,Product_18,Description for product 18,44643.68,54053.7,2024-10-17,True
19,26,34,65,Product_19,Description for product 19,40522.82,48143.68,2026-03-24,True
20,7,41,104,Product_20,Description for product 20,14619.64,19701.97,2022-08-01,True
21,16,60,124,Product_21,Description for product 21,41986.08,56959.5,2023-10-27,True
22,17,94,194,Product_22,Description for product 22,34041.03,47665.95,2022-05-25,True
23,26,71,87,Product_23,Description for product 23,38604.05,50924.84,2023-11-15,True
24,48,38,54,Product_24,Description for product 24,30964.16,46458.79,2021-10-17,True
25,35,33,119,Product_25,Description for product 25,15502.95,23025.89,2026-03-17,True
26,17,93,187,Product_26,Description for product 26,5142.97,5865.68,2025-09-15,True
27,24,18,147,Product_27,Description for product 27,49583.19,63487.83,2026-07-03,True
28,29,25,160,Product_28,Description for product 28,42651.49,49929.58,2021-01-08,True
29,3,4,137,Product_29,Description for product 29,1664.2,2273.27,2022-04-23,True
30,13,56,9,Product_30,Description for product 30,5912.79,10016.49,2021-02-22,True
31,11,47,160,Product_31,Description for product 31,11031.34,14732.81,2021-08-03,True
32,36,71,8,Product_32,Description for product 32,11511.17,17841.58,2023-10-02,True
