return_id,order_id,product_id,return_date,reason,refund_amount
1,6,1803,2022-10-17,Quality Issue,46982.82
2,25,253,2025-04-01,Quality Issue,3203.44
3,56,1259,2025-06-29,Quality Issue,7669.82
4,63,1876,2022-08-31,Quality Issue,65332.1
5,83,1052,2023-07-04,Quality Issue,78793.54
6,84,1313,2024-02-19,Quality Issue,75285.5
7,92,1291,2024-08-12,Quality Issue,115805.89
8,109,1052,2025-09-26,Quality Issue,70288.9
9,113,477,2023-05-09,Quality Issue,23850.36
10,114,524,2026-04-21,Quality Issue,7583.98
11,117,644,2024-03-31,Quality Issue,7624.21
12,125,353,2022-06-05,Quality Issue,56878.78
13,127,669,2025-09-21,Quality Issue,41196.96
14,130,1945,2026-03-20,Quality Issue,77145.36
15,142,1745,2025-12-30,Quality Issue,98770.03
16,153,414,2025-01-27,Quality Issue,3590.75
17,171,252,2024-07-22,Quality Issue,26199.94
18,176,377,2023-11-15,Quality Issue,14823.86
19,196,539,2026-05-13,Quality Issue,10218.55
20,201,480,2025-07-19,Quality Issue,18000.37
21,214,786,2026-02-11,Quality Issue,7945.58
22,218,1590,2025-09-20,Quality Issue,40629.89
23,229,1856,2024-08-24,Quality Issue,3200.22
24,232,146,2022-11-21,Quality Issue,11976.93
25,233,39,2025-01-24,Quality Issue,25065.82
26,234,1032,2025-08-28,Quality Issue,53556.93
27,235,836,2025-09-07,Quality Issue,108912.6
28,255,1426,2024-03-28,Quality Issue,72116.26
29,275,438,2023-02-18,Quality Issue,49633.2
30,275,1277,2023-02-18,Quality Issue,13431.41
31,277,1513,2022-07-11,Quality Issue,3996.07
32,328,1509,2022-09-14,Quality Issue,79098.78
33,354,1129,2023-02-24,Quality Issue,79737.52
34,391,1155,2024-01-14,Quality Issue,32721.94
35,429,1056,2023-01-26,Quality Issue,46319.98
36,432,341,2022-06-16,Quality Issue,119561.93
37,480,272,2025-11-19,Quality Issue,52389.26
38,482,775,2025-05-19,Quality Issue,123372.03
39,484,1622,2022-06-18,Quality Issue,22754.42
40,486,1208,2026-04-29,Quality Issue,19751.3
41,496,784,2024-03-30,Quality Issue,31227.54
42,525,1516,2025-01-11,Quality Issue,14022.12
43,528,1133,2025-07-21,Quality Issue,72805.38
44,554,105,2024-12-17,Quality Issue,45569.02
45,556,725,2022-06-08,Quality Issue,16992.35
46,559,44,2025-11-09,Quality Issue,18789.19
47,576,388,2025-08-28,Quality Issue,91216.42
48,604,1681,2025-09-01,Quality Issue,2459.41
49,619,546,2025-07-17,Quality Issue,20234.02
50,628,1484,2024-10-08,Quality Issue,20207.06
51,633,1510,2023-11-08,Quality Issue,90313.92
52,636,1143,2024-06-15,Quality Issue,9233.7
53,637,1156,2024-05-28,Quality Issue,62670.37
54,637,1847,2024-05-28,Quality Issue,36670.14
55,642,1072,2023-08-05,Quality Issue,2683.21
56,645,1315,2025-12-31,Quality Issue,141573.82
57,663,264,2024-10-16,Quality Issue,14222.85
58,680,318,2023-04-25,Quality Issue,13221.9
59,683,93,2023-04-23,Quality Issue,39908.82
60,699,1067,2025-04-09,Quality Issue,70551.57
61,719,1063,2024-05-07,Quality Issue,159838.24
62,719,811,2024-05-07,Quality Issue,120260.67
63,719,121,2024-05-07,Quality Issue,78215.88
64,730,1556,2025-10-15,Quality Issue,12292.34
65,736,764,2022-09-27,Quality Issue,59551.82
66,742,1956,2023-03-14,Quality Issue,127324.58
67,745,1265,2023-06-03,Quality Issue,25445.64
68,753,1752,2023-12-26,Quality Issue,66480.21
69,756,1880,2024-02-17,Quality Issue,15464.22
70,759,1863,2023-08-12,Quality Issue,76034.3
71,778,1631,2024-06-12,Quality Issue,79673.17
72,793,1576,2025-06-26,Quality Issue,62032.0
73,795,955,2025-04-05,Quality Issue,4622.11
74,809,465,2026-04-23,Quality Issue,58682.64
75,817,1130,2026-02-16,Quality Issue,35480.98
76,821,1565,2026-02-10,Quality Issue,130530.46
77,833,628,2024-01-30,Quality Issue,11709.47
78,843,1488,2025-05-21,Quality Issue,30035.54
79,861,1837,2022-12-17,Quality Issue,101063.81
80,861,1621,2022-12-17,Quality Issue,52369.34
81,868,309,2025-09-14,Quality Issue,34630.52
82,878,828,2025-01-08,Quality Issue,3501.36
83,887,1078,2026-03-14,Quality Issue,75006.5
84,909,238,2022-04-15,Quality Issue,156011.17
85,915,1159,2022-11-23,Quality Issue,22961.5
86,923,1045,2024-08-04,Quality Issue,44481.07
87,928,998,2024-12-13,Quality Issue,25229.11
88,943,1283,2025-12-09,Quality Issue,13772.02
89,948,63,2025-06-15,Quality Issue,126940.67
90,952,1038,2022-08-09,Quality Issue,9119.91
91,976,1127,2026-01-12,Quality Issue,16299.34
92,1006,1386,2024-12-01,Quality Issue,31401.12
93,1019,1074,2026-02-21,Quality Issue,35142.61
94,1020,90,2023-10-28,Quality Issue,71243.16
95,1076,1020,2024-10-02,Quality Issue,52353.53
96,1089,639,2023-06-10,Quality Issue,83435.14
97,1102,1653,2025-07-28,Quality Issue,28737.25
98,1110,462,2025-04-20,Quality Issue,68115.29
99,1118,796,2025-05-09,Quality Issue,67089.96
100,1120,550,2023-01-03,Quality Issue,22429.35
101,1122,602,2022-05-08,Quality Issue,70979.46
102,1142,1518,2025-09-07,Quality Issue,6973.95
103,1173,89,2023-04-02,Quality Issue,11372.56
104,1175,1183,2023-01-23,Quality Issue,68352.05
105,1184,637,2022-07-25,Quality Issue,7048.18
106,1202,1531,2023-07-27,Quality Issue,26401.7
107,1205,1272,2025-01-15,Quality Issue,83903.81
108,1233,831,2022-01-16,Quality Issue,159499.23
109,1275,289,2022-04-22,Quality Issue,78815.9
110,1280,315,2024-02-28,Quality Issue,26578.1
111,1283,312,2024-08-19,Quality Issue,37812.65
112,1292,128,2023-09-09,Quality Issue,557.82
113,1313,1094,2023-05-17,Quality Issue,49695.78
114,1319,691,2025-01-10,Quality Issue,2032.67
115,1331,1602,2023-02-01,Quality Issue,110697.14
116,1335,1972,2023-06-10,Quality Issue,57111.33
117,1339,853,2024-02-23,Quality Issue,25257.94
118,1339,226,2024-02-23,Quality Issue,79517.35
119,1348,1842,2024-10-11,Quality Issue,75763.22
120,1358,1596,2025-10-26,Quality Issue,18322.9
121,1384,1294,2024-03-11,Quality Issue,82534.91
122,1398,1769,2024-05-22,Quality Issue,15077.73
123,1401,937,2025-07-27,Quality Issue,49086.14
124,1406,9,2022-09-10,Quality Issue,60416.13
125,1408,652,2023-08-19,Quality Issue,4592.73
126,1414,1876,2022-11-22,Quality Issue,93438.41
127,1423,1073,2022-03-23,Quality Issue,48470.53
128,1424,981,2023-03-14,Quality Issue,12113.31
129,1456,1408,2026-01-16,Quality Issue,16275.35
130,1468,929,2025-01-06,Quality Issue,6276.02
131,1470,1381,2024-10-07,Quality Issue,45174.75
132,1475,59,2022-02-09,Quality Issue,67637.82
133,1491,1212,2022-09-07,Quality Issue,48625.55
134,1492,1775,2023-08-22,Quality Issue,8441.82
135,1502,1937,2024-02-27,Quality Issue,28569.26
136,1510,1041,2022-04-04,Quality Issue,29710.46
137,1570,152,2023-04-17,Quality Issue,39375.36
138,1579,421,2024-01-04,Quality Issue,88773.38
139,1597,1887,2022-02-07,Quality Issue,38238.05
