target_id,employee_id,target_month,target_year,target_amount
1,1,1,2025,382233.17
2,1,2,2025,271517.08
3,1,3,2025,371874.43
4,1,4,2025,482079.72
5,1,5,2025,368894.68
6,1,6,2025,448487.18
7,1,7,2025,469458.84
8,1,8,2025,374520.62
9,1,9,2025,375266.2
10,1,10,2025,192651.45
11,1,11,2025,334863.45
12,1,12,2025,325991.97
13,2,1,2025,350349.74
14,2,2,2025,380798.01
15,2,3,2025,464849.39
16,2,4,2025,487354.74
17,2,5,2025,64800.47
18,2,6,2025,492860.81
19,2,7,2025,102830.91
20,2,8,2025,395573.64
21,2,9,2025,243545.7
22,2,10,2025,62550.39
23,2,11,2025,466541.33
24,2,12,2025,206449.97
25,3,1,2025,335195.98
26,3,2,2025,168475.62
27,3,3,2025,326324.57
28,3,4,2025,417228.68
29,3,5,2025,314565.21
30,3,6,2025,333845.46
31,3,7,2025,378037.57
32,3,8,2025,135875.07
33,3,9,2025,176455.96
34,3,10,2025,262359.04
35,3,11,2025,135866.36
36,3,12,2025,195150.75
37,4,1,2025,178763.29
38,4,2,2025,157964.48
39,4,3,2025,495685.97
40,4,4,2025,416910.68
41,4,5,2025,335808.73
42,4,6,2025,474157.67
43,4,7,2025,242343.1
44,4,8,2025,397987.6
45,4,9,2025,148654.39
46,4,10,2025,299571.85
47,4,11,2025,196025.58
48,4,12,2025,286716.63
49,5,1,2025,105155.88
50,5,2,2025,447890.84
51,5,3,2025,456598.91
52,5,4,2025,130784.1
53,5,5,2025,316719.0
54,5,6,2025,314101.12
55,5,7,2025,499878.78
56,5,8,2025,428445.01
57,5,9,2025,172731.99
58,5,10,2025,346562.47
59,5,11,2025,97661.48
60,5,12,2025,291632.4
61,6,1,2025,284471.03
62,6,2,2025,491654.48
63,6,3,2025,269884.98
64,6,4,2025,71562.1
65,6,5,2025,489227.57
66,6,6,2025,462334.71
67,6,7,2025,235368.51
68,6,8,2025,308774.85
69,6,9,2025,108312.35
70,6,10,2025,295362.42
71,6,11,2025,176789.9
72,6,12,2025,469597.57
73,7,1,2025,241921.74
74,7,2,2025,207345.28
75,7,3,2025,71987.54
76,7,4,2025,328415.57
77,7,5,2025,415160.62
78,7,6,2025,427239.57
79,7,7,2025,96303.46
80,7,8,2025,96538.52
81,7,9,2025,74639.52
82,7,10,2025,303370.36
83,7,11,2025,203816.21
84,7,12,2025,221217.03
85,8,1,2025,414881.33
86,8,2,2025,494175.99
87,8,3,2025,66930.29
88,8,4,2025,265358.06
89,8,5,2025,214562.64
90,8,6,2025,468509.79
91,8,7,2025,334769.31
92,8,8,2025,485519.96
93,8,9,2025,209650.01
94,8,10,2025,346772.3
95,8,11,2025,354406.64
96,8,12,2025,405836.18
97,9,1,2025,203692.83
98,9,2,2025,442744.83
99,9,3,2025,413072.07
100,9,4,2025,455254.01
101,9,5,2025,125732.42
102,9,6,2025,297952.78
103,9,7,2025,57248.0
104,9,8,2025,201136.2
105,9,9,2025,451652.5
106,9,10,2025,287324.1
107,9,11,2025,349089.39
108,9,12,2025,428912.89
109,10,1,2025,202504.87
110,10,2,2025,129313.05
111,10,3,2025,298986.47
112,10,4,2025,480875.48
113,10,5,2025,471617.78
114,10,6,2025,377356.83
115,10,7,2025,357286.35
116,10,8,2025,261364.68
117,10,9,2025,181691.56
118,10,10,2025,224704.57
119,10,11,2025,425667.27
120,10,12,2025,484547.65
121,11,1,2025,167287.24
122,11,2,2025,379162.03
123,11,3,2025,162481.07
124,11,4,2025,364238.87
125,11,5,2025,357917.43
126,11,6,2025,154466.27
127,11,7,2025,125642.85
128,11,8,2025,112009.62
129,11,9,2025,487928.34
130,11,10,2025,402329.5
131,11,11,2025,64719.59
132,11,12,2025,131208.91
133,12,1,2025,375448.22
134,12,2,2025,135487.04
135,12,3,2025,310977.64
136,12,4,2025,459801.81
137,12,5,2025,402758.61
138,12,6,2025,273510.41
139,12,7,2025,397575.41
140,12,8,2025,247336.9
141,12,9,2025,342461.9
142,12,10,2025,171169.53
143,12,11,2025,347248.48
144,12,12,2025,104748.1
145,13,1,2025,299878.4
146,13,2,2025,471908.55
147,13,3,2025,231916.12
148,13,4,2025,132855.55
149,13,5,2025,492157.65
150,13,6,2025,383342.18
151,13,7,2025,307152.55
152,13,8,2025,484214.65
153,13,9,2025,344598.07
154,13,10,2025,408178.72
155,13,11,2025,445432.9
156,13,12,2025,104520.6
157,14,1,2025,477359.18
158,14,2,2025,353319.19
159,14,3,2025,234986.34
160,14,4,2025,133627.38
161,14,5,2025,294307.94
162,14,6,2025,335773.78
163,14,7,2025,245315.17
164,14,8,2025,159195.09
165,14,9,2025,206525.14
166,14,10,2025,67006.48
167,14,11,2025,443069.53
168,14,12,2025,285854.12
169,15,1,2025,363435.21
170,15,2,2025,308050.8
171,15,3,2025,257966.16
172,15,4,2025,186330.52
